2025-07-23 20:26:15.735 [AIOT-BE] ERROR: Error fetching users: Cannot read properties of undefined (reading 'userService') {"stack":"TypeError: Cannot read properties of undefined (reading 'userService')\n    at getUsers (/home/user/GitHub/AIOT/be/src/controllers/rbac/UserController.ts:100:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:17.794 [AIOT-BE] ERROR: Error fetching roles: Cannot read properties of undefined (reading 'roleService') {"stack":"TypeError: Cannot read properties of undefined (reading 'roleService')\n    at getRoles (/home/user/GitHub/AIOT/be/src/controllers/rbac/RoleController.ts:128:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:18.892 [AIOT-BE] ERROR: Error fetching roles: Cannot read properties of undefined (reading 'roleService') {"stack":"TypeError: Cannot read properties of undefined (reading 'roleService')\n    at getRoles (/home/user/GitHub/AIOT/be/src/controllers/rbac/RoleController.ts:128:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:21.062 [AIOT-BE] ERROR: Error fetching roles: Cannot read properties of undefined (reading 'roleService') {"stack":"TypeError: Cannot read properties of undefined (reading 'roleService')\n    at getRoles (/home/user/GitHub/AIOT/be/src/controllers/rbac/RoleController.ts:128:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:20.923 [AIOT-BE] ERROR: Error fetching permissions: Cannot read properties of undefined (reading 'permissionService') {"stack":"TypeError: Cannot read properties of undefined (reading 'permissionService')\n    at getPermissions (/home/user/GitHub/AIOT/be/src/controllers/rbac/PermissionController.ts:94:44)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:22.005 [AIOT-BE] ERROR: Error fetching permissions: Cannot read properties of undefined (reading 'permissionService') {"stack":"TypeError: Cannot read properties of undefined (reading 'permissionService')\n    at getPermissions (/home/user/GitHub/AIOT/be/src/controllers/rbac/PermissionController.ts:94:44)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:24.159 [AIOT-BE] ERROR: Error fetching permissions: Cannot read properties of undefined (reading 'permissionService') {"stack":"TypeError: Cannot read properties of undefined (reading 'permissionService')\n    at getPermissions (/home/user/GitHub/AIOT/be/src/controllers/rbac/PermissionController.ts:94:44)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:35:53.375 [AIOT-BE] ERROR: Error fetching users: Cannot read properties of undefined (reading 'userService') {"stack":"TypeError: Cannot read properties of undefined (reading 'userService')\n    at getUsers (/home/user/GitHub/AIOT/be/src/controllers/rbac/UserController.ts:100:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:35:53.394 [AIOT-BE] ERROR: Error fetching permissions: Cannot read properties of undefined (reading 'permissionService') {"stack":"TypeError: Cannot read properties of undefined (reading 'permissionService')\n    at getPermissions (/home/user/GitHub/AIOT/be/src/controllers/rbac/PermissionController.ts:94:44)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:35:53.413 [AIOT-BE] ERROR: Error fetching roles: Cannot read properties of undefined (reading 'roleService') {"stack":"TypeError: Cannot read properties of undefined (reading 'roleService')\n    at getRoles (/home/user/GitHub/AIOT/be/src/controllers/rbac/RoleController.ts:128:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
